Branco,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18
14:04,14:15,14:13,14:18,14:06,14:24,14:29,14:17,14:27,14:15,14:20,14:38,14:26,14:29,14:31,14:40,14:49,14:53,15:02
14:13,14:27,14:25,14:17,14:17,14:39,14:31,14:31,14:29,14:29,14:21,14:43,14:43,14:33,14:35,14:47,15:01,14:53,15:07
14:17,14:19,14:20,14:28,14:29,14:22,14:30,14:31,14:31,14:32,14:40,14:33,14:34,14:43,14:42,14:45,14:56,14:56,15:07
14:35,14:36,14:47,14:48,14:41,14:48,14:49,14:42,15:00,14:53,14:54,15:01,14:54,15:06,14:55,15:07,15:12,15:20,15:25
14:36,14:42,14:49,14:49,14:39,14:55,14:55,14:45,15:02,14:52,14:52,15:08,14:58,15:05,14:58,15:11,15:12,15:13,15:14
