Resultado,Pedra,Hora
"6.497,00",10,"
        11:43
      "
"13.486,00",10,"
        11:42
      "
"14.048,00",6,"
        11:42
      "
"13.552,00",5,"
        11:41
      "
"17.444,00",9,"
        11:41
      "
"11.810,00",2,"
        11:40
      "
"16.756,00",1,"
        11:40
      "
"12.006,00",12,"
        11:39
      "
"15.485,00",5,"
        11:39
      "
"10.952,00",2,"
        11:38
      "
"14.240,00",1,"
        11:38
      "
"13.808,00",13,"
        11:37
      "
"10.264,00",1,"
        11:37
      "
"8.020,00",1,"
        11:36
      "
"9.762,00",12,"
        11:36
      "
"16.407,00",12,"
        11:35
      "
"11.585,00",13,"
        11:35
      "
"16.161,00",2,"
        11:34
      "
"10.143,00",13,"
        11:34
      "
"11.728,00",1,"
        11:33
      "
"13.119,00",6,"
        11:33
      "
"19.148,00",11,"
        11:32
      "
"15.293,00",10,"
        11:32
      "
"13.529,00",2,"
        11:31
      "
"10.478,00",11,"
        11:31
      "
"18.116,00",5,"
        11:30
      "
"12.087,00",5,"
        11:30
      "
"14.403,00",13,"
        11:29
      "
"3.428,00",5,"
        11:29
      "
"26.464,00",12,"
        11:28
      "
"26.208,00",13,"
        11:28
      "
"21.393,00",11,"
        11:27
      "
"17.291,00",8,"
        11:27
      "
"13.770,00",8,"
        11:26
      "
"13.731,00",14,"
        11:26
      "
"18.585,00",11,"
        11:25
      "
"-129.324,00",0,"
        11:25
      "
"11.175,00",9,"
        11:24
      "
"14.730,00",6,"
        11:24
      "
"7.507,00",13,"
        11:23
      "
"9.019,00",3,"
        11:23
      "
"15.265,00",3,"
        11:22
      "
"-162.762,00",0,"
        11:22
      "
"15.069,00",10,"
        11:21
      "
"-23.986,00",5,"
        11:21
      "
"28.380,00",14,"
        11:20
      "
"12.148,00",10,"
        11:20
      "
"13.093,00",11,"
        11:19
      "
"20.180,00",5,"
        11:19
      "
"13.513,00",4,"
        11:18
      "
"13.038,00",13,"
        11:18
      "
"6.661,00",3,"
        11:17
      "
"21.655,00",12,"
        11:17
      "
"22.527,00",8,"
        11:16
      "
"18.688,00",9,"
        11:16
      "
"6.072,00",11,"
        11:15
      "
"10.582,00",1,"
        11:15
      "
"-109.285,00",0,"
        11:14
      "
"5.640,00",14,"
        11:14
      "
"10.958,00",5,"
        11:13
      "
"9.882,00",10,"
        11:13
      "
"1.774,00",4,"
        11:12
      "
"11.455,00",10,"
        11:12
      "
"11.067,00",12,"
        11:11
      "
"12.902,00",7,"
        11:11
      "
"-114.017,00",0,"
        11:10
      "
"10.952,00",2,"
        11:10
      "
"14.387,00",1,"
        11:09
      "
"8.370,00",3,"
        11:09
      "
"7.457,00",5,"
        11:08
      "
"6.104,00",8,"
        11:08
      "
"7.348,00",12,"
        11:07
      "
"9.544,00",7,"
        11:07
      "
"6.983,00",2,"
        11:06
      "
"13.486,00",14,"
        11:06
      "
"10.363,00",9,"
        11:05
      "
"234,00",9,"
        11:05
      "
"15.123,00",5,"
        11:04
      "
"8.102,00",5,"
        11:04
      "
"10.362,00",8,"
        11:03
      "
"8.047,00",4,"
        11:03
      "
"7.812,00",12,"
        11:02
      "
"2.451,00",13,"
        11:02
      "
"15.413,00",2,"
        11:01
      "
"6.159,00",1,"
        11:01
      "
"5.902,00",2,"
        11:00
      "
"11.416,00",10,"
        11:00
      "
"-2.163,00",14,"
        10:59
      "
"16.865,00",4,"
        10:59
      "
"8.408,00",3,"
        10:58
      "
"8.904,00",13,"
        10:58
      "
"-93.183,00",0,"
        10:57
      "
"11.362,00",5,"
        10:57
      "
"-111.066,00",0,"
        10:56
      "
"9.391,00",7,"
        10:56
      "
"10.711,00",2,"
        10:55
      "
"7.496,00",7,"
        10:55
      "
"-786,00",13,"
        10:54
      "
"10.837,00",5,"
        10:54
      "
"10.433,00",6,"
        10:53
      "
"10.187,00",3,"
        10:53
      "
"8.206,00",4,"
        10:52
      "
"6.961,00",3,"
        10:52
      "
"1.643,00",9,"
        10:51
      "
"12.640,00",6,"
        10:51
      "
"7.742,00",7,"
        10:50
      "
"7.201,00",13,"
        10:50
      "
"5.143,00",3,"
        10:49
      "
"13.906,00",12,"
        10:49
      "
"9.910,00",8,"
        10:48
      "
"11.220,00",10,"
        10:48
      "
"8.495,00",8,"
        10:47
      "
"-230,00",5,"
        10:47
      "
"17.826,00",13,"
        10:46
      "
"12.776,00",9,"
        10:46
      "
"13.469,00",13,"
        10:45
      "
"-159.969,00",0,"
        10:45
      "
"12.121,00",11,"
        10:44
      "
"12.377,00",9,"
        10:44
      "
"16.510,00",2,"
        10:43
      "
"11.203,00",3,"
        10:43
      "
"-42.637,00",14,"
        10:42
      "
"16.041,00",3,"
        10:42
      "
"12.399,00",10,"
        10:41
      "
"-23.135,00",9,"
        10:41
      "
"64.318,00",5,"
        10:40
      "
"36.375,00",4,"
        10:40
      "
"28.108,00",2,"
        10:39
      "
"16.767,00",6,"
        10:39
      "
"15.222,00",5,"
        10:38
      "
"6.813,00",5,"
        10:38
      "
"21.206,00",14,"
        10:37
      "
"11.859,00",12,"
        10:37
      "
"12.897,00",12,"
        10:36
      "
"-6.389,00",4,"
        10:36
      "
"15.866,00",9,"
        10:35
      "
"8.578,00",12,"
        10:35
      "
"14.714,00",5,"
        10:34
      "
"7.715,00",2,"
        10:34
      "
"17.204,00",10,"
        10:33
      "
"32.230,00",10,"
        10:33
      "
"14.178,00",11,"
        10:32
      "
"365,00",11,"
        10:32
      "
"7.687,00",6,"
        10:31
      "
"7.097,00",11,"
        10:31
      "
"7.682,00",7,"
        10:30
      "
"-100.647,00",0,"
        10:30
      "
"18.084,00",13,"
        10:29
      "
"9.565,00",8,"
        10:29
      "
"14.076,00",13,"
        10:28
      "
"10.461,00",9,"
        10:28
      "
"338,00",10,"
        10:27
      "
"10.696,00",2,"
        10:27
      "
"10.510,00",2,"
        10:26
      "
"-87.665,00",0,"
        10:26
      "
"8.621,00",10,"
        10:25
      "
"3.930,00",3,"
        10:25
      "
"2.696,00",12,"
        10:24
      "
"12.230,00",3,"
        10:24
      "
"10.499,00",6,"
        10:23
      "
"9.326,00",7,"
        10:23
      "
"-10.762,00",13,"
        10:22
      "
"6.344,00",3,"
        10:22
      "
"16.489,00",7,"
        10:21
      "
"-105.653,00",0,"
        10:21
      "
"18.640,00",5,"
        10:20
      "
"12.590,00",1,"
        10:20
      "
"8.768,00",2,"
        10:19
      "
"5.672,00",2,"
        10:19
      "
"13.087,00",13,"
        10:18
      "
"9.795,00",7,"
        10:18
      "
"9.849,00",4,"
        10:17
      "
"12.432,00",14,"
        10:17
      "
"12.787,00",14,"
        10:16
      "
"11.471,00",8,"
        10:16
      "
"7.311,00",13,"
        10:15
      "
"21.813,00",1,"
        10:15
      "
"17.815,00",1,"
        10:14
      "
"24.291,00",6,"
        10:14
      "
"15.964,00",7,"
        10:13
      "
"24.766,00",1,"
        10:13
      "
"8.817,00",8,"
        10:12
      "
"17.340,00",2,"
        10:12
      "
"16.194,00",6,"
        10:11
      "
"14.419,00",5,"
        10:11
      "
"16.991,00",1,"
        10:10
      "
"-131.728,00",0,"
        10:10
      "
"5.028,00",2,"
        10:09
      "
"6.054,00",14,"
        10:09
      "
"24.515,00",5,"
        10:08
      "
"5.700,00",13,"
        10:08
      "
"20.769,00",1,"
        10:07
      "
"16.286,00",1,"
        10:07
      "
"-132.929,00",0,"
        10:06
      "
"15.004,00",7,"
        10:06
      "
"-135.376,00",0,"
        10:05
      "
"11.220,00",9,"
        10:05
      "
"9.789,00",4,"
        10:04
      "
"9.505,00",12,"
        10:04
      "
"14.168,00",6,"
        10:03
      "
"-113.060,00",0,"
        10:03
      "
"5.389,00",4,"
        10:02
      "
"10.713,00",13,"
        10:02
      "
"13.279,00",8,"
        10:01
      "
"-114.129,00",0,"
        10:01
      "
"11.039,00",1,"
        10:00
      "
"11.908,00",4,"
        10:00
      "
"9.429,00",6,"
        09:59
      "
"6.939,00",1,"
        09:59
      "
"7.496,00",10,"
        09:58
      "
"5.782,00",9,"
        09:58
      "
"7.376,00",1,"
        09:57
      "
"4.690,00",5,"
        09:57
      "
"15.234,00",12,"
        09:56
      "
"5.732,00",9,"
        09:56
      "
"7.332,00",3,"
        09:55
      "
"9.996,00",14,"
        09:55
      "
"14.479,00",4,"
        09:54
      "
"-154.158,00",0,"
        09:54
      "
"6.174,00",2,"
        09:53
      "
"15.495,00",11,"
        09:53
      "
"11.951,00",11,"
        09:52
      "
"13.229,00",14,"
        09:52
      "
"12.989,00",8,"
        09:51
      "
"8.004,00",12,"
        09:51
      "
"9.751,00",11,"
        09:50
      "
"6.174,00",5,"
        09:50
      "
"6.884,00",4,"
        09:49
      "
"17.455,00",12,"
        09:49
      "
"6.972,00",12,"
        09:48
      "
"8.785,00",10,"
        09:48
      "
"9.336,00",7,"
        09:47
      "
"9.511,00",7,"
        09:47
      "
"13.688,00",8,"
        09:46
      "
"18.155,00",11,"
        09:46
      "
"-93.619,00",0,"
        09:45
      "
"16.614,00",13,"
        09:45
      "
"16.423,00",14,"
        09:44
      "
"10.378,00",8,"
        09:44
      "
"10.199,00",3,"
        09:43
      "
"6.787,00",9,"
        09:43
      "
"10.641,00",4,"
        09:42
      "
"7.453,00",1,"
        09:42
      "
"14.900,00",12,"
        09:41
      "
"-130.700,00",0,"
        09:41
      "
"13.245,00",7,"
        09:40
      "
"10.865,00",1,"
        09:40
      "
"11.853,00",7,"
        09:39
      "
"1.872,00",8,"
        09:39
      "
"16.057,00",7,"
        09:38
      "
"15.479,00",1,"
        09:38
      "
"14.551,00",7,"
        09:37
      "
"10.975,00",2,"
        09:37
      "
"14.660,00",7,"
        09:36
      "
"8.817,00",6,"
        09:36
      "
"7.430,00",4,"
        09:35
      "
"4.248,00",4,"
        09:35
      "
"14.834,00",11,"
        09:34
      "
"12.153,00",14,"
        09:34
      "
"14.201,00",12,"
        09:33
      "
"-103.249,00",0,"
        09:33
      "
"11.088,00",8,"
        09:32
      "
"9.303,00",14,"
        09:32
      "
"11.547,00",12,"
        09:31
      "
"9.756,00",11,"
        09:31
      "
"7.982,00",14,"
        09:30
      "
"4.515,00",7,"
        09:30
      "
"4.395,00",6,"
        09:29
      "
"3.789,00",9,"
        09:29
      "
"6.164,00",13,"
        09:28
      "
"7.370,00",1,"
        09:28
      "
"7.545,00",1,"
        09:27
      "
"6.366,00",12,"
        09:27
      "
"11.138,00",10,"
        09:26
      "
"-39.356,00",7,"
        09:26
      "
"33.797,00",14,"
        09:25
      "
"22.550,00",12,"
        09:25
      "
"-16.392,00",8,"
        09:24
      "
"8.102,00",6,"
        09:24
      "
"8.387,00",9,"
        09:23
      "
"10.651,00",2,"
        09:23
      "
"-101.007,00",0,"
        09:22
      "
"9.762,00",12,"
        09:22
      "
"3.543,00",13,"
        09:21
      "
"8.916,00",10,"
        09:21
      "
"8.294,00",3,"
        09:20
      "
"3.615,00",14,"
        09:20
      "
"5.268,00",7,"
        09:19
      "
"3.756,00",12,"
        09:19
      "
"9.385,00",6,"
        09:18
      "
"11.089,00",13,"
        09:18
      "
"8.359,00",4,"
        09:17
      "
"4.558,00",8,"
        09:17
      "
"4.553,00",12,"
        09:16
      "
"12.076,00",6,"
        09:16
      "
"5.688,00",7,"
        09:15
      "
"4.062,00",6,"
        09:15
      "
"11.945,00",10,"
        09:14
      "
"9.992,00",12,"
        09:14
      "
"13.879,00",4,"
        09:13
      "
"8.866,00",8,"
        09:13
      "
"8.266,00",4,"
        09:12
      "
"5.553,00",1,"
        09:12
      "
"10.614,00",10,"
        09:11
      "
"15.965,00",9,"
        09:11
      "
"14.759,00",13,"
        09:10
      "
"4.067,00",14,"
        09:10
      "
"15.227,00",4,"
        09:09
      "
"13.437,00",14,"
        09:09
      "
"12.072,00",3,"
        09:08
      "
"8.544,00",10,"
        09:08
      "
"3.510,00",8,"
        09:07
      "
"12.879,00",4,"
        09:07
      "
"9.598,00",5,"
        09:06
      "
"9.958,00",5,"
        09:06
      "
"-87.374,00",0,"
        09:05
      "
"8.577,00",14,"
        09:05
      "
"9.008,00",3,"
        09:04
      "
"-119.289,00",0,"
        09:04
      "
"-83.395,00",0,"
        09:03
      "
"10.559,00",8,"
        09:03
      "
"3.329,00",1,"
        09:02
      "
"13.803,00",8,"
        09:02
      "
"7.786,00",9,"
        09:01
      "
"8.987,00",13,"
        09:01
      "
"-83.096,00",0,"
        09:00
      "
"-116,00",14,"
        09:00
      "
"12.323,00",8,"
        08:59
      "
"2.314,00",6,"
        08:59
      "
"5.525,00",10,"
        08:58
      "
"-8.005,00",10,"
        08:58
      "
"21.780,00",3,"
        08:57
      "
"4.985,00",2,"
        08:57
      "
"-2.097,00",13,"
        08:56
      "
"-884,00",2,"
        08:56
      "
"10.614,00",13,"
        08:55
      "
"-74.692,00",0,"
        08:55
      "
"6.333,00",9,"
        08:54
      "
"2.146,00",14,"
        08:54
      "
"17.745,00",5,"
        08:53
      "
"9.260,00",7,"
        08:53
      "
"14.741,00",6,"
        08:52
      "
"15.905,00",7,"
        08:52
      "
"10.302,00",2,"
        08:51
      "
"5.089,00",13,"
        08:51
      "
"13.327,00",6,"
        08:50
      "
"6.677,00",14,"
        08:50
      "
"-7.190,00",14,"
        08:49
      "
"19.748,00",6,"
        08:49
      "
"7.469,00",1,"
        08:48
      "
"18.367,00",5,"
        08:48
      "
"-97.786,00",0,"
        08:47
      "
"8.080,00",2,"
        08:47
      "
"-7.661,00",1,"
        08:46
      "
"13.868,00",13,"
        08:46
      "
"16.166,00",14,"
        08:45
      "
"-108.931,00",0,"
        08:45
      "
"9.741,00",3,"
        08:44
      "
"3.745,00",10,"
        08:44
      "
"7.551,00",5,"
        08:43
      "
"9.516,00",4,"
        08:43
      "
"3.832,00",9,"
        08:42
      "
"10.897,00",3,"
        08:42
      "
"1.834,00",7,"
        08:41
      "
"9.112,00",9,"
        08:41
      "
"7.757,00",13,"
        08:40
      "
"-86.491,00",0,"
        08:40
      "
"7.938,00",10,"
        08:39
      "
"10.766,00",13,"
        08:39
      "
"7.239,00",2,"
        08:38
      "
"4.881,00",1,"
        08:38
      "
"8.260,00",3,"
        08:37
      "
"-279,00",11,"
        08:37
      "
"15.003,00",5,"
        08:36
      "
"7.158,00",3,"
        08:36
      "
"5.290,00",6,"
        08:35
      "
"3.953,00",3,"
        08:35
      "
"6.786,00",6,"
        08:34
      "
"7.933,00",2,"
        08:34
      "
"2.347,00",14,"
        08:33
      "
"8.053,00",1,"
        08:33
      "
"8.490,00",3,"
        08:32
      "
"8.922,00",7,"
        08:32
      "
"5.148,00",1,"
        08:31
      "
"3.822,00",6,"
        08:31
      "
"9.570,00",10,"
        08:30
      "
"4.738,00",8,"
        08:30
      "
"11.864,00",1,"
        08:29
      "
"2.342,00",12,"
        08:29
      "
"8.593,00",7,"
        08:28
      "
"-15.212,00",6,"
        08:28
      "
"19.098,00",12,"
        08:27
      "
"5.957,00",12,"
        08:27
      "
"-7.497,00",1,"
        08:26
      "
"10.274,00",12,"
        08:26
      "
"2.670,00",3,"
        08:25
      "
"2.801,00",8,"
        08:25
      "
"4.105,00",7,"
        08:24
      "
"-78.920,00",7,"
        08:24
      "
"-19.100,00",0,"
        08:23
      "
"32.289,00",9,"
        08:23
      "
"4.717,00",12,"
        08:22
      "
"6.672,00",12,"
        08:22
      "
"-86.241,00",1,"
        08:21
      "
"54.637,00",13,"
        08:21
      "
"28.025,00",8,"
        08:20
      "
"-69.463,00",0,"
        08:20
      "
"8.981,00",7,"
        08:19
      "
"5.339,00",7,"
        08:19
      "
"4.597,00",14,"
        08:18
      "
"5.874,00",5,"
        08:18
      "
"3.096,00",1,"
        08:17
      "
"1.485,00",5,"
        08:17
      "
"3.210,00",13,"
        08:16
      "
"4.614,00",14,"
        08:16
      "
"3.773,00",5,"
        08:15
      "
"6.944,00",3,"
        08:15
      "
"3.914,00",10,"
        08:14
      "
"3.761,00",10,"
        08:14
      "
"7.229,00",7,"
        08:13
      "
"7.370,00",7,"
        08:13
      "
"6.082,00",7,"
        08:12
      "
"5.530,00",7,"
        08:12
      "
"4.727,00",11,"
        08:11
      "
"5.580,00",13,"
        08:11
      "
"7.579,00",12,"
        08:10
      "
"-3.878,00",10,"
        08:10
      "
"15.026,00",6,"
        08:09
      "
"8.588,00",1,"
        08:09
      "
"7.261,00",4,"
        08:08
      "
"5.509,00",6,"
        08:08
      "
"6.109,00",13,"
        08:07
      "
"4.253,00",6,"
        08:07
      "
"8.572,00",5,"
        08:06
      "
"8.735,00",14,"
        08:06
      "
"9.430,00",6,"
        08:05
      "
"10.106,00",1,"
        08:05
      "
"4.630,00",11,"
        08:04
      "
"7.894,00",3,"
        08:04
      "
"9.461,00",1,"
        08:03
      "
"6.797,00",1,"
        08:03
      "
"11.957,00",7,"
        08:02
      "
"-101.852,00",0,"
        08:02
      "
"10.930,00",11,"
        08:01
      "
"6.011,00",8,"
        08:01
      "
"7.256,00",5,"
        08:00
      "
"13.928,00",11,"
        08:00
      "
"-115.791,00",0,"
        07:59
      "
"9.281,00",8,"
        07:59
      "
"11.351,00",7,"
        07:58
      "
"4.957,00",1,"
        07:58
      "
"4.018,00",13,"
        07:57
      "
"7.791,00",4,"
        07:57
      "
"-519,00",9,"
        07:56
      "
"10.396,00",5,"
        07:56
      "
"-68.782,00",0,"
        07:55
      "
"3.297,00",9,"
        07:55
      "
"289,00",3,"
        07:54
      "
"9.303,00",7,"
        07:54
      "
"6.529,00",8,"
        07:53
      "
"8.392,00",8,"
        07:53
      "
"8.544,00",1,"
        07:52
      "
"9.015,00",4,"
        07:52
      "
"7.364,00",13,"
        07:51
      "
"15.375,00",1,"
        07:51
      "
"13.175,00",7,"
        07:50
      "
"4.919,00",4,"
        07:50
      "
"7.306,00",9,"
        07:49
      "
"-61.948,00",0,"
        07:49
      "
"7.409,00",14,"
        07:48
      "
"4.941,00",9,"
        07:48
      "
"7.114,00",10,"
        07:47
      "
"7.955,00",1,"
        07:47
      "
"8.681,00",3,"
        07:46
      "
"5.711,00",12,"
        07:46
      "
"12.826,00",6,"
        07:45
      "
"11.144,00",3,"
        07:45
      "
"10.673,00",2,"
        07:44
      "
"13.305,00",5,"
        07:44
      "
"6.743,00",12,"
        07:43
      "
"13.005,00",7,"
        07:43
      "
"10.013,00",4,"
        07:42
      "
"12.962,00",3,"
        07:42
      "
"-106.965,00",0,"
        07:41
      "
"13.949,00",2,"
        07:41
      "
"8.053,00",4,"
        07:40
      "
"7.709,00",10,"
        07:40
      "
"5.170,00",3,"
        07:39
      "
"-98.171,00",12,"
        07:39
      "
"-11.711,00",0,"
        07:38
      "
"4.499,00",3,"
        07:38
      "
"4.580,00",9,"
        07:37
      "
"6.541,00",4,"
        07:37
      "
"-84.285,00",0,"
        07:36
      "
"4.772,00",13,"
        07:36
      "
"4.007,00",5,"
        07:35
      "
"4.728,00",7,"
        07:35
      "
"6.502,00",11,"
        07:34
      "
"-73.428,00",0,"
        07:34
      "
"4.935,00",14,"
        07:33
      "
"4.712,00",5,"
        07:33
      "
"3.958,00",3,"
        07:32
      "
"7.015,00",13,"
        07:32
      "
"-71.526,00",0,"
        07:31
      "
"4.422,00",4,"
        07:31
      "
"5.924,00",6,"
        07:30
      "
"-6.362,00",8,"
        07:30
      "
"5.962,00",4,"
        07:29
      "
"5.886,00",2,"
        07:29
      "
"-48.835,00",0,"
        07:28
      "
"-21.404,00",14,"
        07:28
      "
"3.915,00",6,"
        07:27
      "
"8.872,00",10,"
        07:27
      "
"-58.465,00",0,"
        07:26
      "
"-6.422,00",2,"
        07:26
      "
"14.943,00",13,"
        07:25
      "
"9.577,00",8,"
        07:25
      "
"6.005,00",12,"
        07:24
      "
"3.231,00",9,"
        07:24
      "
"-17.986,00",4,"
        07:23
      "
"37.297,00",13,"
        07:23
      "
"8.731,00",11,"
        07:22
      "
"4.592,00",10,"
        07:22
      "
"9.566,00",11,"
        07:21
      "
"14.190,00",14,"
        07:21
      "
"4.155,00",9,"
        07:20
      "
"1.861,00",4,"
        07:20
      "
"6.650,00",8,"
        07:19
      "
"5.635,00",6,"
        07:19
      "
"7.223,00",6,"
        07:18
      "
"4.351,00",6,"
        07:18
      "
"4.733,00",13,"
        07:17
      "
"4.963,00",3,"
        07:17
      "
"4.449,00",10,"
        07:16
      "
"813,00",9,"
        07:16
      "
"7.027,00",5,"
        07:15
      "
"5.864,00",1,"
        07:15
      "
"4.935,00",2,"
        07:14
      "
"4.608,00",4,"
        07:14
      "
"3.412,00",5,"
        07:13
      "
"-7.535,00",6,"
        07:13
      "
"10.591,00",10,"
        07:12
      "
"7.048,00",13,"
        07:12
      "
"-60.188,00",0,"
        07:11
      "
"2.511,00",8,"
        07:11
      "
"3.888,00",8,"
        07:10
      "
"-502,00",5,"
        07:10
      "
"3.352,00",11,"
        07:09
      "
"3.079,00",8,"
        07:09
      "
"3.526,00",4,"
        07:08
      "
"-50.727,00",0,"
        07:08
      "
"3.937,00",9,"
        07:07
      "
"3.041,00",9,"
        07:07
      "
"3.565,00",6,"
        07:06
      "
"-62.901,00",0,"
        07:06
      "
"829,00",12,"
        07:05
      "
"8.431,00",6,"
        07:05
      "
"6.940,00",7,"
        07:04
      "
"3.969,00",5,"
        07:04
      "
"3.592,00",7,"
        07:03
      "
"5.149,00",3,"
        07:03
      "
"2.249,00",10,"
        07:02
      "
"4.532,00",1,"
        07:02
      "
"6.224,00",3,"
        07:01
      "
"1.086,00",6,"
        07:01
      "
"1.048,00",8,"
        07:00
      "
"1.321,00",1,"
        07:00
      "
"5.514,00",8,"
        06:59
      "
"6.093,00",1,"
        06:59
      "
"-9.823,00",11,"
        06:58
      "
"14.746,00",1,"
        06:58
      "
"1.571,00",3,"
        06:57
      "
"2.872,00",6,"
        06:57
      "
"3.063,00",4,"
        06:56
      "
"4.258,00",11,"
        06:56
      "
"6.540,00",7,"
        06:55
      "
"278,00",5,"
        06:55
      "
"2.173,00",5,"
        06:54
      "
"4.651,00",11,"
        06:54
      "
"1.447,00",13,"
        06:53
      "
"3.871,00",7,"
        06:53
      "
"3.123,00",3,"
        06:52
      "
"2.178,00",8,"
        06:52
      "
"3.766,00",12,"
        06:51
      "
"6.022,00",11,"
        06:51
      "
"742,00",11,"
        06:50
      "
"545,00",13,"
        06:50
      "
"1.397,00",8,"
        06:49
      "
"3.712,00",1,"
        06:49
      "
"4.078,00",9,"
        06:48
      "
"7.141,00",12,"
        06:48
      "
"879,00",14,"
        06:47
      "
"7.763,00",3,"
        06:47
      "
"-77,00",9,"
        06:46
      "
"1.272,00",2,"
        06:46
      "
"6.906,00",14,"
        06:45
      "
"2.970,00",12,"
        06:45
      "
"4.154,00",3,"
        06:44
      "
"2.249,00",11,"
        06:44
      "
"7.268,00",7,"
        06:43
      "
"977,00",6,"
        06:43
      "
"-30.140,00",3,"
        06:42
      "
"6.284,00",8,"
        06:42
      "
"-1.530,00",12,"
        06:41
      "
"6.748,00",7,"
        06:41
      "
"1.933,00",4,"
        06:40
      "
"3.222,00",4,"
        06:40
      "
"2.058,00",8,"
        06:39
      "
"-1.076,00",10,"
        06:39
      "
"191,00",7,"
        06:38
      "
"627,00",1,"
        06:38
      "
"698,00",6,"
        06:37
      "
"1.190,00",11,"
        06:37
      "
"2.594,00",10,"
        06:36
      "
"-2.518,00",14,"
        06:36
      "
"14.665,00",1,"
        06:35
      "
"9.812,00",4,"
        06:35
      "
"3.085,00",1,"
        06:34
      "
"2.129,00",13,"
        06:34
      "
"-34.283,00",0,"
        06:33
      "
"3.068,00",10,"
        06:33
      "
"3.198,00",6,"
        06:32
      "
"1.288,00",7,"
        06:32
      "
"1.986,00",11,"
        06:31
      "
"3.423,00",4,"
        06:31
      "
"611,00",14,"
        06:30
      "
"393,00",3,"
        06:30
      "
"3.057,00",14,"
        06:29
      "
"2.456,00",8,"
        06:29
      "
"4.024,00",14,"
        06:28
      "
"3.936,00",11,"
        06:28
      "
"3.330,00",6,"
        06:27
      "
"1.714,00",11,"
        06:27
      "
"2.566,00",1,"
        06:26
      "
"4.378,00",6,"
        06:26
      "
"-31.289,00",0,"
        06:25
      "
"4.602,00",7,"
        06:25
      "
"4.947,00",7,"
        06:24
      "
"1.583,00",7,"
        06:24
      "
"3.368,00",14,"
        06:23
      "
"3.757,00",5,"
        06:23
      "
"2.036,00",14,"
        06:22
      "
"4.565,00",5,"
        06:22
      "
"4.100,00",7,"
        06:21
      "
"4.378,00",10,"
        06:21
      "
"4.924,00",9,"
        06:20
      "
"4.777,00",5,"
        06:20
      "
"4.269,00",11,"
        06:19
      "
"5.831,00",9,"
        06:19
      "
"4.558,00",14,"
        06:18
      "
"3.636,00",11,"
        06:18
      "
"2.905,00",14,"
        06:17
      "
"2.249,00",8,"
        06:17
      "
"3.882,00",12,"
        06:16
      "
"3.106,00",2,"
        06:16
      "
"4.630,00",7,"
        06:15
      "
"5.984,00",6,"
        06:15
      "
"4.444,00",2,"
        06:14
      "
"4.050,00",13,"
        06:14
      "
"2.609,00",1,"
        06:13
      "
"3.745,00",12,"
        06:13
      "
"4.782,00",12,"
        06:12
      "
"-40.068,00",0,"
        06:12
      "
"3.521,00",7,"
        06:11
      "
"3.591,00",12,"
        06:11
      "
"4.476,00",4,"
        06:10
      "
"2.364,00",5,"
        06:10
      "
"4.007,00",2,"
        06:09
      "
"4.226,00",5,"
        06:09
      "
"2.315,00",7,"
        06:08
      "
"4.515,00",7,"
        06:08
      "
"4.641,00",13,"
        06:07
      "
"4.575,00",12,"
        06:07
      "
"4.865,00",11,"
        06:06
      "
"3.330,00",5,"
        06:06
      "
"1.769,00",4,"
        06:05
      "
"5.814,00",12,"
        06:05
      "
"4.013,00",11,"
        06:04
      "
"4.248,00",11,"
        06:04
      "
"3.073,00",5,"
        06:03
      "
"4.509,00",9,"
        06:03
      "
"2.932,00",11,"
        06:02
      "
"1.785,00",11,"
        06:02
      "
"3.685,00",2,"
        06:01
      "
"3.800,00",2,"
        06:01
      "
"3.799,00",9,"
        06:00
      "
"54,00",14,"
        06:00
      "
"1.818,00",2,"
        05:59
      "
"3.303,00",14,"
        05:59
      "
"3.641,00",1,"
        05:58
      "
"4.012,00",13,"
        05:58
      "
"3.406,00",7,"
        05:57
      "
"4.324,00",14,"
        05:57
      "
"4.640,00",13,"
        05:56
      "
"4.592,00",14,"
        05:56
      "
"4.094,00",12,"
        05:55
      "
"4.428,00",14,"
        05:55
      "
"5.607,00",2,"
        05:54
      "
"7.387,00",6,"
        05:54
      "
"-43.242,00",0,"
        05:53
      "
"4.401,00",14,"
        05:53
      "
"3.761,00",8,"
        05:52
      "
"5.099,00",7,"
        05:52
      "
"-58.989,00",0,"
        05:51
      "
"-31.810,00",0,"
        05:51
      "
"2.992,00",3,"
        05:50
      "
"2.413,00",1,"
        05:50
      "
"4.171,00",10,"
        05:49
      "
"4.733,00",4,"
        05:49
      "
"3.499,00",3,"
        05:48
      "
"3.380,00",13,"
        05:48
      "
"3.096,00",5,"
        05:47
      "
"4.761,00",10,"
        05:47
      "
"1.146,00",10,"
        05:46
      "
"5.967,00",11,"
        05:46
      "
"5.476,00",7,"
        05:45
      "
"3.477,00",2,"
        05:45
      "
"5.230,00",13,"
        05:44
      "
"4.416,00",9,"
        05:44
      "
"5.291,00",14,"
        05:43
      "
"-48.943,00",0,"
        05:43
      "
"3.969,00",1,"
        05:42
      "
"3.887,00",14,"
        05:42
      "
"1.840,00",14,"
        05:41
      "
"3.429,00",6,"
        05:41
      "
"-35.627,00",0,"
        05:40
      "
"3.040,00",10,"
        05:40
      "
"-28.403,00",0,"
        05:39
      "
"3.177,00",5,"
        05:39
      "
"2.566,00",12,"
        05:38
      "
"725,00",11,"
        05:38
      "
"2.953,00",2,"
        05:37
      "
"2.539,00",3,"
        05:37
      "
"2.041,00",4,"
        05:36
      "
