Resultado,Pedra,Hora
"17.717,00",11,"
        16:24
      "
"10.653,00",11,"
        16:23
      "
"16.516,00",1,"
        16:23
      "
"7.027,00",5,"
        16:22
      "
"13.442,00",11,"
        16:22
      "
"15.123,00",7,"
        16:21
      "
"-183.968,00",0,"
        16:21
      "
"10.046,00",5,"
        16:20
      "
"21.676,00",13,"
        16:20
      "
"19.852,00",14,"
        16:19
      "
"17.133,00",12,"
        16:19
      "
"11.045,00",9,"
        16:18
      "
"7.081,00",4,"
        16:18
      "
"22.834,00",14,"
        16:17
      "
"-247.856,00",0,"
        16:17
      "
"22.133,00",14,"
        16:16
      "
"17.712,00",8,"
        16:16
      "
"21.228,00",14,"
        16:15
      "
"16.052,00",8,"
        16:15
      "
"12.011,00",8,"
        16:14
      "
"20.038,00",9,"
        16:14
      "
"-253.187,00",0,"
        16:13
      "
"9.249,00",3,"
        16:13
      "
"10.400,00",7,"
        16:12
      "
"9.828,00",8,"
        16:12
      "
"11.918,00",3,"
        16:11
      "
"7.442,00",5,"
        16:11
      "
"12.940,00",14,"
        16:10
      "
"-143.828,00",0,"
        16:10
      "
"14.610,00",3,"
        16:09
      "
"11.154,00",2,"
        16:09
      "
"8.862,00",6,"
        16:08
      "
"12.514,00",1,"
        16:08
      "
"17.221,00",14,"
        16:07
      "
"14.430,00",13,"
        16:07
      "
"14.157,00",8,"
        16:06
      "
"21.479,00",5,"
        16:06
      "
"10.586,00",4,"
        16:05
      "
"23.925,00",12,"
        16:05
      "
"25.454,00",13,"
        16:04
      "
"18.023,00",8,"
        16:04
      "
"16.598,00",13,"
        16:03
      "
"11.789,00",9,"
        16:03
      "
"9.161,00",12,"
        16:02
      "
"17.570,00",3,"
        16:02
      "
"16.832,00",5,"
        16:01
      "
"12.710,00",7,"
        16:01
      "
"19.928,00",9,"
        16:00
      "
"-8.933,00",10,"
        16:00
      "
"23.581,00",1,"
        15:59
      "
"25.875,00",4,"
        15:59
      "
"21.430,00",6,"
        15:58
      "
"-5.526,00",6,"
        15:58
      "
"-17.597,00",13,"
        15:57
      "
"-185.808,00",0,"
        15:57
      "
"-30.762,00",7,"
        15:56
      "
"34.364,00",14,"
        15:56
      "
"18.553,00",5,"
        15:55
      "
"-163.457,00",0,"
        15:55
      "
"9.691,00",7,"
        15:54
      "
"13.273,00",13,"
        15:54
      "
"13.103,00",8,"
        15:53
      "
"25.580,00",3,"
        15:53
      "
"20.835,00",5,"
        15:52
      "
"27.108,00",12,"
        15:52
      "
"16.543,00",3,"
        15:51
      "
"17.253,00",11,"
        15:51
      "
"13.852,00",8,"
        15:50
      "
"20.687,00",2,"
        15:50
      "
"23.194,00",5,"
        15:49
      "
"21.277,00",10,"
        15:49
      "
"-237.921,00",0,"
        15:48
      "
"21.266,00",1,"
        15:48
      "
"-153.045,00",0,"
        15:47
      "
"-22.741,00",11,"
        15:47
      "
"-170.183,00",0,"
        15:46
      "
"13.191,00",2,"
        15:46
      "
"14.397,00",7,"
        15:45
      "
"-25.428,00",12,"
        15:45
      "
"46.141,00",2,"
        15:44
      "
"-3.752,00",7,"
        15:44
      "
"-16.703,00",8,"
        15:43
      "
"39.186,00",4,"
        15:43
      "
"19.170,00",9,"
        15:42
      "
"22.561,00",12,"
        15:42
      "
"-222.452,00",0,"
        15:41
      "
"-5.608,00",10,"
        15:41
      "
"-25.996,00",6,"
        15:40
      "
"-140.897,00",0,"
        15:40
      "
"-156.620,00",9,"
        15:39
      "
"98.034,00",5,"
        15:39
      "
"-96.320,00",0,"
        15:38
      "
"29.167,00",3,"
        15:38
      "
"11.154,00",9,"
        15:37
      "
"15.687,00",8,"
        15:37
      "
"-122.536,00",0,"
        15:36
      "
"13.109,00",10,"
        15:36
      "
"6.857,00",13,"
        15:35
      "
"20.130,00",7,"
        15:35
      "
"11.122,00",4,"
        15:34
      "
"16.860,00",9,"
        15:34
      "
"-155.932,00",0,"
        15:33
      "
"9.308,00",6,"
        15:33
      "
"9.833,00",7,"
        15:32
      "
"-76.441,00",1,"
        15:32
      "
"58.106,00",12,"
        15:31
      "
"41.342,00",10,"
        15:31
      "
"2.036,00",13,"
        15:30
      "
"-199.885,00",0,"
        15:30
      "
"18.618,00",5,"
        15:29
      "
"20.578,00",13,"
        15:29
      "
"-32.837,00",12,"
        15:28
      "
"49.653,00",4,"
        15:28
      "
"20.442,00",6,"
        15:27
      "
"21.681,00",6,"
        15:27
      "
"20.775,00",4,"
        15:26
      "
"20.791,00",2,"
        15:26
      "
"-10.685,00",6,"
        15:25
      "
"-26.471,00",9,"
        15:25
      "
"37.668,00",1,"
        15:24
      "
"-7.409,00",12,"
        15:24
      "
"-9.954,00",4,"
        15:23
      "
"-77.702,00",7,"
        15:23
      "
"58.635,00",14,"
        15:22
      "
"36.516,00",14,"
        15:22
      "
"13.819,00",12,"
        15:21
      "
"-132.527,00",0,"
        15:21
      "
"8.714,00",5,"
        15:20
      "
"10.728,00",12,"
        15:20
      "
"8.010,00",10,"
        15:19
      "
"12.192,00",3,"
        15:19
      "
"6.273,00",4,"
        15:18
      "
"20.551,00",13,"
        15:18
      "
"18.848,00",10,"
        15:17
      "
"19.557,00",10,"
        15:17
      "
"16.975,00",9,"
        15:16
      "
"-154.291,00",0,"
        15:16
      "
"14.501,00",9,"
        15:15
      "
"7.917,00",2,"
        15:15
      "
"17.362,00",14,"
        15:14
      "
"5.530,00",14,"
        15:14
      "
"12.290,00",6,"
        15:13
      "
"12.520,00",14,"
        15:13
      "
"7.977,00",4,"
        15:12
      "
"11.264,00",9,"
        15:12
      "
"7.578,00",11,"
        15:11
      "
"7.267,00",10,"
        15:11
      "
"16.052,00",2,"
        15:10
      "
"11.978,00",1,"
        15:10
      "
"9.167,00",7,"
        15:09
      "
"6.628,00",9,"
        15:09
      "
"8.408,00",10,"
        15:08
      "
"16.576,00",6,"
        15:08
      "
"15.364,00",5,"
        15:07
      "
"-176.866,00",0,"
        15:07
      "
"18.466,00",6,"
        15:06
      "
"9.085,00",2,"
        15:06
      "
"4.815,00",11,"
        15:05
      "
"14.621,00",7,"
        15:05
      "
"17.264,00",10,"
        15:04
      "
"11.367,00",4,"
        15:04
      "
"16.603,00",8,"
        15:03
      "
"8.337,00",11,"
        15:03
      "
"19.628,00",7,"
        15:02
      "
"21.315,00",5,"
        15:02
      "
"13.431,00",5,"
        15:01
      "
"15.549,00",5,"
        15:01
      "
"15.527,00",12,"
        15:00
      "
"11.537,00",3,"
        15:00
      "
"6.733,00",3,"
        14:59
      "
"15.904,00",9,"
        14:59
      "
"14.730,00",13,"
        14:58
      "
"18.497,00",9,"
        14:58
      "
"-185.231,00",0,"
        14:57
      "
"12.022,00",6,"
        14:57
      "
"13.534,00",12,"
        14:56
      "
"19.273,00",12,"
        14:56
      "
"4.990,00",3,"
        14:55
      "
"14.365,00",14,"
        14:55
      "
"13.098,00",13,"
        14:54
      "
"7.267,00",9,"
        14:54
      "
"17.739,00",6,"
        14:53
      "
"15.538,00",6,"
        14:53
      "
"17.302,00",6,"
        14:52
      "
"14.742,00",3,"
        14:52
      "
"13.256,00",9,"
        14:51
      "
"28.265,00",1,"
        14:51
      "
"-273.664,00",0,"
        14:50
      "
"-198.899,00",0,"
        14:50
      "
"14.726,00",3,"
        14:49
      "
"8.687,00",5,"
        14:49
      "
"13.404,00",14,"
        14:48
      "
"11.532,00",10,"
        14:48
      "
"340.201,00",7,"
        14:47
      "
"190.139,00",10,"
        14:47
      "
"110.838,00",12,"
        14:46
      "
"-113.006,00",0,"
        14:46
      "
"39.114,00",12,"
        14:45
      "
"13.715,00",14,"
        14:45
      "
"23.810,00",14,"
        14:44
      "
"8.425,00",13,"
        14:44
      "
"4.253,00",8,"
        14:43
      "
"11.324,00",3,"
        14:43
      "
"-7.104,00",3,"
        14:42
      "
"-131.106,00",0,"
        14:42
      "
"11.416,00",11,"
        14:41
      "
"9.740,00",12,"
        14:41
      "
"3.527,00",4,"
        14:40
      "
"14.736,00",10,"
        14:40
      "
"9.696,00",13,"
        14:39
      "
"8.517,00",9,"
        14:39
      "
"12.224,00",6,"
        14:38
      "
"9.751,00",2,"
        14:38
      "
"12.612,00",12,"
        14:37
      "
"-4.658,00",1,"
        14:37
      "
"27.377,00",11,"
        14:36
      "
"11.903,00",8,"
        14:36
      "
"20.906,00",8,"
        14:35
      "
"-205.283,00",0,"
        14:35
      "
"-141.937,00",0,"
        14:34
      "
"11.122,00",13,"
        14:34
      "
"11.618,00",7,"
        14:33
      "
"6.208,00",14,"
        14:33
      "
"13.152,00",7,"
        14:32
      "
"6.710,00",2,"
        14:32
      "
"10.833,00",13,"
        14:31
      "
"11.367,00",3,"
        14:31
      "
"7.311,00",11,"
        14:30
      "
"13.573,00",3,"
        14:30
      "
"3.030,00",5,"
        14:29
      "
"16.986,00",12,"
        14:29
      "
"18.935,00",14,"
        14:28
      "
"9.162,00",10,"
        14:28
      "
"11.236,00",11,"
        14:27
      "
"22.849,00",7,"
        14:27
      "
"6.071,00",7,"
        14:26
      "
"15.184,00",14,"
        14:26
      "
"13.541,00",8,"
        14:25
      "
"-183.922,00",0,"
        14:25
      "
"2.686,00",10,"
        14:24
      "
"16.549,00",5,"
        14:24
      "
"16.259,00",3,"
        14:23
      "
"23.592,00",5,"
        14:23
      "
"14.053,00",2,"
        14:22
      "
"10.576,00",8,"
        14:22
      "
