Branco,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15
09:54,10:02,09:59,09:57,09:56,10:04,10:06,10:04,10:12,10:14,10:01,10:09,10:11,09:59,10:07,10:09
10:02,10:14,10:08,10:06,10:07,10:08,10:04,10:19,10:20,10:16,10:13,10:14,10:10,10:11,10:12,10:08
10:03,10:08,10:15,10:09,10:09,10:05,10:07,10:14,10:10,10:12,10:21,10:17,10:19,10:15,10:11,10:13
10:05,10:09,10:07,10:11,10:16,10:09,10:15,10:20,10:13,10:19,10:18,10:11,10:17,10:22,10:15,10:21
10:06,10:17,10:10,10:08,10:10,10:16,10:07,10:21,10:27,10:18,10:14,10:20,10:11,10:12,10:18,10:09
